Time_data,PUN,PUN_d+1-7,PUN_d+1-14,GAS,GAS_d+1-7,Total_load_f,Total_Load_d+1-7,GiornoSettimana,Ora,holiday
2018-01-15 00:00:00+00:00,41.56,39.17,19.19,21.14,20.54,24033.0,27513.29,0,1,0
2018-01-15 01:00:00+00:00,35.15,36.4,14.99,21.14,20.54,22333.0,25886.82,0,2,0
2018-01-15 02:00:00+00:00,32.55,35.9,11.0,21.14,20.54,21560.0,25241.74,0,3,0
2018-01-15 03:00:00+00:00,32.78,34.0,10.0,21.14,20.54,21469.0,25072.75,0,4,0
2018-01-15 04:00:00+00:00,32.55,35.35,11.83,21.14,20.54,21883.0,25184.83,0,5,0
2018-01-15 05:00:00+00:00,36.1,38.76,14.99,21.14,20.54,23828.0,26670.69,0,6,0
2018-01-15 06:00:00+00:00,48.36,49.0,40.6,21.14,20.54,29469.0,31656.4,0,7,0
2018-01-15 07:00:00+00:00,54.77,55.9,46.99,21.14,20.54,36961.0,37900.79,0,8,0
2018-01-15 08:00:00+00:00,62.36,62.36,47.95,21.14,20.54,42360.0,42285.76,0,9,0
2018-01-15 09:00:00+00:00,57.31,68.75,49.9,21.14,20.54,44659.0,44062.36,0,10,0
2018-01-15 10:00:00+00:00,55.98,62.47,50.0,21.14,20.54,44761.0,43899.05,0,11,0
2018-01-15 11:00:00+00:00,54.38,63.14,49.7,21.14,20.54,44800.0,43711.31,0,12,0
2018-01-15 12:00:00+00:00,52.4,59.39,48.16,21.14,20.54,42690.0,41414.03,0,13,0
2018-01-15 13:00:00+00:00,52.16,59.39,47.24,21.14,20.54,41892.0,41042.53,0,14,0
2018-01-15 14:00:00+00:00,54.72,62.36,46.1,21.14,20.54,42697.0,42015.66,0,15,0
2018-01-15 15:00:00+00:00,58.4,70.3,47.6,21.14,20.54,43347.0,42802.09,0,16,0
2018-01-15 16:00:00+00:00,63.51,68.81,50.45,21.14,20.54,44225.0,43846.07,0,17,0
2018-01-15 17:00:00+00:00,67.5,74.46,54.9,21.14,20.54,46069.0,45829.07,0,18,0
2018-01-15 18:00:00+00:00,62.92,75.79,57.18,21.14,20.54,45877.0,45255.8,0,19,0
2018-01-15 19:00:00+00:00,59.97,70.75,54.96,21.14,20.54,44753.0,43891.04,0,20,0
2018-01-15 20:00:00+00:00,57.56,61.84,51.2,21.14,20.54,41909.0,41265.0,0,21,0
2018-01-15 21:00:00+00:00,56.31,55.14,48.82,21.14,20.54,38598.0,38092.41,0,22,0
2018-01-15 22:00:00+00:00,54.45,49.0,45.14,21.14,20.54,34835.0,34108.21,0,23,0
2018-01-15 23:00:00+00:00,48.46,45.98,40.09,21.14,20.54,31082.0,30624.29,0,24,0
2018-01-16 00:00:00+00:00,44.81,43.32,42.75,20.6,20.64,28173.0,27812.12,1,1,0
2018-01-16 01:00:00+00:00,42.65,38.0,35.02,20.6,20.64,26211.0,26179.55,1,2,0
2018-01-16 02:00:00+00:00,37.0,36.42,28.85,20.6,20.64,25392.0,25655.99,1,3,0
2018-01-16 03:00:00+00:00,32.01,36.0,28.0,20.6,20.64,25200.0,25389.74,1,4,0
2018-01-16 04:00:00+00:00,32.01,35.9,35.02,20.6,20.64,25419.0,25424.87,1,5,0
2018-01-16 05:00:00+00:00,40.0,40.43,44.49,20.6,20.64,27066.0,26858.92,1,6,0
2018-01-16 06:00:00+00:00,46.13,47.01,50.65,20.6,20.64,31833.0,31693.54,1,7,0
2018-01-16 07:00:00+00:00,51.71,51.79,67.0,20.6,20.64,39211.0,37758.94,1,8,0
2018-01-16 08:00:00+00:00,60.44,57.17,70.0,20.6,20.64,43950.0,42116.81,1,9,0
2018-01-16 09:00:00+00:00,61.05,59.75,68.0,20.6,20.64,46144.0,43867.12,1,10,0
2018-01-16 10:00:00+00:00,59.33,56.36,55.7,20.6,20.64,46393.0,43750.16,1,11,0
2018-01-16 11:00:00+00:00,53.86,53.79,53.3,20.6,20.64,46203.0,43180.41,1,12,0
2018-01-16 12:00:00+00:00,49.92,51.86,52.18,20.6,20.64,43708.0,40875.14,1,13,0
2018-01-16 13:00:00+00:00,49.83,51.75,50.21,20.6,20.64,42857.0,40364.45,1,14,0
2018-01-16 14:00:00+00:00,53.02,52.33,52.57,20.6,20.64,43808.0,41607.89,1,15,0
2018-01-16 15:00:00+00:00,55.07,54.75,54.35,20.6,20.64,44422.0,42878.61,1,16,0
2018-01-16 16:00:00+00:00,54.74,58.44,59.0,20.6,20.64,45594.0,43843.71,1,17,0
2018-01-16 17:00:00+00:00,57.88,65.92,71.46,20.6,20.64,47613.0,46043.56,1,18,0
2018-01-16 18:00:00+00:00,57.36,63.5,68.86,20.6,20.64,47136.0,45272.93,1,19,0
2018-01-16 19:00:00+00:00,56.48,61.2,64.66,20.6,20.64,45691.0,43749.05,1,20,0
2018-01-16 20:00:00+00:00,51.88,57.73,57.71,20.6,20.64,42724.0,41236.13,1,21,0
2018-01-16 21:00:00+00:00,48.22,55.02,53.3,20.6,20.64,39082.0,37928.82,1,22,0
2018-01-16 22:00:00+00:00,44.07,50.03,49.7,20.6,20.64,35314.0,33974.28,1,23,0
