Time_data,PUN,Italia_load,TOTAL-SOLAR,TOTAL-WIND,GAS,Ora,GiornoSettimana,PUN_d+1-7,holiday_d+1
2018-01-21 00:00:00+00:00,38.75,25884.59,0.0,3941.0,19.37,1,6,41.56,1.0
2018-01-21 01:00:00+00:00,34.99,24147.61,0.0,4169.0,19.37,2,6,35.15,1.0
2018-01-21 02:00:00+00:00,30.0,23063.7,0.0,4371.0,19.37,3,6,32.55,1.0
2018-01-21 03:00:00+00:00,27.71,22583.78,0.0,4541.0,19.37,4,6,32.78,1.0
2018-01-21 04:00:00+00:00,25.56,22387.1,0.0,4634.0,19.37,5,6,32.55,1.0
2018-01-21 05:00:00+00:00,27.68,22734.58,0.0,4617.0,19.37,6,6,36.1,1.0
2018-01-21 06:00:00+00:00,28.47,23865.65,0.0,4590.0,19.37,7,6,48.36,1.0
2018-01-21 07:00:00+00:00,32.56,25243.2,25.0,4613.0,19.37,8,6,54.77,1.0
2018-01-21 08:00:00+00:00,36.13,26919.03,575.0,4488.0,19.37,9,6,62.36,1.0
2018-01-21 09:00:00+00:00,44.0,28871.65,1770.0,4408.0,19.37,10,6,57.31,1.0
2018-01-21 10:00:00+00:00,46.4,29759.2,3359.0,4293.0,19.37,11,6,55.98,1.0
2018-01-21 11:00:00+00:00,45.54,29881.74,4693.0,4179.0,19.37,12,6,54.38,1.0
2018-01-21 12:00:00+00:00,43.13,29530.76,5237.0,4125.0,19.37,13,6,52.4,1.0
2018-01-21 13:00:00+00:00,37.75,27964.23,5273.0,4066.0,19.37,14,6,52.16,1.0
2018-01-21 14:00:00+00:00,38.58,27651.12,4270.0,4226.0,19.37,15,6,54.72,1.0
2018-01-21 15:00:00+00:00,43.43,28087.23,2429.0,4553.0,19.37,16,6,58.4,1.0
2018-01-21 16:00:00+00:00,48.15,29366.32,676.0,4735.0,19.37,17,6,63.51,1.0
2018-01-21 17:00:00+00:00,53.34,32651.06,0.0,4889.0,19.37,18,6,67.5,1.0
2018-01-21 18:00:00+00:00,51.9,34727.11,0.0,5115.0,19.37,19,6,62.92,1.0
2018-01-21 19:00:00+00:00,53.34,35130.29,0.0,5332.0,19.37,20,6,59.97,1.0
2018-01-21 20:00:00+00:00,50.41,33998.26,0.0,5406.0,19.37,21,6,57.56,1.0
2018-01-21 21:00:00+00:00,49.91,32287.64,0.0,5338.0,19.37,22,6,56.31,1.0
2018-01-21 22:00:00+00:00,45.08,29507.61,0.0,5242.0,19.37,23,6,54.45,1.0
2018-01-21 23:00:00+00:00,37.0,26865.42,0.0,5131.0,19.37,24,6,48.46,1.0
2018-01-22 00:00:00+00:00,27.06,24708.27,0.0,5011.0,19.51,1,0,44.81,1.0
2018-01-22 01:00:00+00:00,20.0,23320.38,0.0,4943.0,19.51,2,0,42.65,1.0
2018-01-22 02:00:00+00:00,16.22,22709.31,0.0,4874.0,19.51,3,0,37.0,1.0
2018-01-22 03:00:00+00:00,12.88,22718.38,0.0,4784.0,19.51,4,0,32.01,1.0
2018-01-22 04:00:00+00:00,15.84,23089.2,0.0,4638.0,19.51,5,0,32.01,1.0
2018-01-22 05:00:00+00:00,33.0,25032.49,0.0,4421.0,19.51,6,0,40.0,1.0
2018-01-22 06:00:00+00:00,44.65,30654.21,0.0,4144.0,19.51,7,0,46.13,1.0
2018-01-22 07:00:00+00:00,48.15,37186.7,43.0,3803.0,19.51,8,0,51.71,1.0
2018-01-22 08:00:00+00:00,53.84,41988.34,1087.0,3270.0,19.51,9,0,60.44,1.0
2018-01-22 09:00:00+00:00,52.4,43406.65,3260.0,2880.0,19.51,10,0,61.05,1.0
2018-01-22 10:00:00+00:00,48.64,43131.48,5322.0,2628.0,19.51,11,0,59.33,1.0
2018-01-22 11:00:00+00:00,47.57,42669.22,6586.0,2464.0,19.51,12,0,53.86,1.0
2018-01-22 12:00:00+00:00,47.0,40395.5,6767.0,2370.0,19.51,13,0,49.92,1.0
2018-01-22 13:00:00+00:00,47.39,40165.63,6257.0,2219.0,19.51,14,0,49.83,1.0
2018-01-22 14:00:00+00:00,51.33,41458.28,4978.0,2045.0,19.51,15,0,53.02,1.0
2018-01-22 15:00:00+00:00,52.85,42418.64,2675.0,1839.0,19.51,16,0,55.07,1.0
2018-01-22 16:00:00+00:00,58.61,43676.0,710.0,1648.0,19.51,17,0,54.74,1.0
2018-01-22 17:00:00+00:00,69.42,45352.35,0.0,1534.0,19.51,18,0,57.88,1.0
2018-01-22 18:00:00+00:00,69.54,45335.32,0.0,1504.0,19.51,19,0,57.36,1.0
2018-01-22 19:00:00+00:00,60.57,43940.42,0.0,1523.0,19.51,20,0,56.48,1.0
2018-01-22 20:00:00+00:00,54.73,41553.48,0.0,1569.0,19.51,21,0,51.88,1.0
2018-01-22 21:00:00+00:00,53.8,38615.94,0.0,1607.0,19.51,22,0,48.22,1.0
2018-01-22 22:00:00+00:00,51.17,34520.94,0.0,1608.0,19.51,23,0,44.07,1.0
2018-01-22 23:00:00+00:00,48.17,31100.09,0.0,1585.0,19.51,24,0,42.46,1.0
2018-01-23 00:00:00+00:00,47.0,28295.97,0.0,1521.0,19.99,1,1,35.49,0.0
2018-01-23 01:00:00+00:00,43.76,26643.38,0.0,1514.0,19.99,2,1,31.59,0.0
2018-01-23 02:00:00+00:00,43.23,25857.29,0.0,1490.0,19.99,3,1,27.11,0.0
2018-01-23 03:00:00+00:00,43.28,25548.08,0.0,1425.0,19.99,4,1,26.29,0.0
2018-01-23 04:00:00+00:00,43.16,25729.58,0.0,1337.0,19.99,5,1,27.15,0.0
2018-01-23 05:00:00+00:00,44.06,27251.04,0.0,1295.0,19.99,6,1,35.64,0.0
2018-01-23 06:00:00+00:00,52.62,32501.58,0.0,1353.0,19.99,7,1,46.22,0.0
2018-01-23 07:00:00+00:00,67.38,38761.11,24.0,1436.0,19.99,8,1,48.19,0.0
2018-01-23 08:00:00+00:00,73.65,43096.37,751.0,1232.0,19.99,9,1,51.56,0.0
2018-01-23 09:00:00+00:00,64.74,44664.29,2394.0,1270.0,19.99,10,1,49.4,0.0
2018-01-23 10:00:00+00:00,52.55,43996.41,4468.0,1397.0,19.99,11,1,48.42,0.0
2018-01-23 11:00:00+00:00,48.91,42846.69,5542.0,1728.0,19.99,12,1,46.68,0.0
2018-01-23 12:00:00+00:00,45.9,40531.36,5717.0,2266.0,19.99,13,1,45.15,0.0
2018-01-23 13:00:00+00:00,45.28,40186.12,5443.0,2823.0,19.99,14,1,44.0,0.0
2018-01-23 14:00:00+00:00,45.92,41498.3,4456.0,3293.0,19.99,15,1,46.47,0.0
2018-01-23 15:00:00+00:00,48.15,42329.82,2471.0,3555.0,19.99,16,1,47.9,0.0
2018-01-23 16:00:00+00:00,53.4,43739.47,689.0,3612.0,19.99,17,1,51.12,0.0
2018-01-23 17:00:00+00:00,61.37,45868.25,2.0,3507.0,19.99,18,1,58.32,0.0
2018-01-23 18:00:00+00:00,60.46,45972.94,0.0,3293.0,19.99,19,1,56.13,0.0
2018-01-23 19:00:00+00:00,58.32,44512.96,0.0,3078.0,19.99,20,1,54.92,0.0
2018-01-23 20:00:00+00:00,53.98,41763.99,0.0,2929.0,19.99,21,1,49.8,0.0
2018-01-23 21:00:00+00:00,50.49,38487.66,0.0,2821.0,19.99,22,1,48.13,0.0
2018-01-23 22:00:00+00:00,50.11,34574.76,0.0,2653.0,19.99,23,1,44.48,0.0
2018-01-23 23:00:00+00:00,44.89,31055.16,0.0,2412.0,19.99,24,1,42.38,0.0
2018-01-24 00:00:00+00:00,44.66,28516.93,0.0,2138.0,19.32,1,2,43.21,0.0
2018-01-24 01:00:00+00:00,41.96,26900.55,0.0,2000.0,19.32,2,2,39.46,0.0
2018-01-24 02:00:00+00:00,39.5,26006.76,0.0,1949.0,19.32,3,2,38.35,0.0
2018-01-24 03:00:00+00:00,40.0,25899.53,0.0,1954.0,19.32,4,2,36.73,0.0
2018-01-24 04:00:00+00:00,40.0,26089.08,0.0,1903.0,19.32,5,2,38.37,0.0
2018-01-24 05:00:00+00:00,42.73,27572.39,0.0,1789.0,19.32,6,2,43.16,0.0
2018-01-24 06:00:00+00:00,50.64,32993.79,0.0,1680.0,19.32,7,2,48.44,0.0
2018-01-24 07:00:00+00:00,52.68,39296.6,49.0,1593.0,19.32,8,2,54.84,0.0
2018-01-24 08:00:00+00:00,63.64,43729.99,1109.0,1302.0,19.32,9,2,60.42,0.0
2018-01-24 09:00:00+00:00,54.13,44811.21,3380.0,1216.0,19.32,10,2,55.98,0.0
2018-01-24 10:00:00+00:00,50.96,43640.8,5499.0,1191.0,19.32,11,2,52.07,0.0
2018-01-24 11:00:00+00:00,47.43,42710.29,6685.0,1223.0,19.32,12,2,50.22,0.0
2018-01-24 12:00:00+00:00,46.36,40352.7,7031.0,1298.0,19.32,13,2,48.16,0.0
2018-01-24 13:00:00+00:00,46.88,39858.61,6550.0,1327.0,19.32,14,2,48.06,0.0
2018-01-24 14:00:00+00:00,50.98,41138.1,5381.0,1275.0,19.32,15,2,50.73,0.0
2018-01-24 15:00:00+00:00,52.96,42035.18,3163.0,1094.0,19.32,16,2,50.98,0.0
2018-01-24 16:00:00+00:00,63.83,43410.47,887.0,875.0,19.32,17,2,53.44,0.0
2018-01-24 17:00:00+00:00,74.97,45939.89,0.0,707.0,19.32,18,2,58.75,0.0
2018-01-24 18:00:00+00:00,75.06,46143.45,0.0,598.0,19.32,19,2,56.13,0.0
2018-01-24 19:00:00+00:00,78.91,44523.06,0.0,531.0,19.32,20,2,55.05,0.0
2018-01-24 20:00:00+00:00,58.42,41913.96,0.0,470.0,19.32,21,2,52.89,0.0
2018-01-24 21:00:00+00:00,53.65,38611.36,0.0,434.0,19.32,22,2,50.89,0.0
2018-01-24 22:00:00+00:00,52.66,34786.82,0.0,429.0,19.32,23,2,48.14,0.0
2018-01-24 23:00:00+00:00,49.95,31213.38,0.0,429.0,19.32,24,2,43.76,0.0
2018-01-25 00:00:00+00:00,48.53,28777.96,0.0,457.0,18.91,1,3,43.56,0.0
2018-01-25 01:00:00+00:00,44.8,27143.54,0.0,462.0,18.91,2,3,38.32,0.0
2018-01-25 02:00:00+00:00,43.28,26346.04,0.0,445.0,18.91,3,3,33.46,0.0
2018-01-25 03:00:00+00:00,42.86,26245.33,0.0,433.0,18.91,4,3,34.3,0.0
2018-01-25 04:00:00+00:00,43.01,26378.94,0.0,429.0,18.91,5,3,33.3,0.0
2018-01-25 05:00:00+00:00,44.67,27679.58,0.0,420.0,18.91,6,3,38.33,0.0
2018-01-25 06:00:00+00:00,51.74,32757.65,0.0,410.0,18.91,7,3,44.07,0.0
2018-01-25 07:00:00+00:00,60.87,39227.18,51.0,408.0,18.91,8,3,55.92,0.0
2018-01-25 08:00:00+00:00,72.73,43667.49,994.0,459.0,18.91,9,3,64.59,0.0
2018-01-25 09:00:00+00:00,68.44,44879.42,2730.0,469.0,18.91,10,3,58.62,0.0
2018-01-25 10:00:00+00:00,52.42,44006.48,4201.0,495.0,18.91,11,3,54.52,0.0
2018-01-25 11:00:00+00:00,51.06,43392.78,5102.0,553.0,18.91,12,3,52.96,0.0
2018-01-25 12:00:00+00:00,49.47,40872.91,5148.0,606.0,18.91,13,3,47.77,0.0
2018-01-25 13:00:00+00:00,49.09,40430.03,4684.0,668.0,18.91,14,3,47.71,0.0
2018-01-25 14:00:00+00:00,51.32,41766.49,3695.0,699.0,18.91,15,3,50.86,0.0
2018-01-25 15:00:00+00:00,52.43,42628.29,2291.0,725.0,18.91,16,3,55.67,0.0
2018-01-25 16:00:00+00:00,59.99,43941.35,682.0,769.0,18.91,17,3,59.91,0.0
2018-01-25 17:00:00+00:00,74.64,45822.48,3.0,858.0,18.91,18,3,68.91,0.0
2018-01-25 18:00:00+00:00,73.46,45949.88,0.0,972.0,18.91,19,3,69.01,0.0
2018-01-25 19:00:00+00:00,67.71,44508.01,0.0,1083.0,18.91,20,3,65.59,0.0
2018-01-25 20:00:00+00:00,55.01,41675.88,0.0,1176.0,18.91,21,3,57.1,0.0
2018-01-25 21:00:00+00:00,51.96,38619.95,0.0,1251.0,18.91,22,3,52.92,0.0
2018-01-25 22:00:00+00:00,49.25,34822.77,0.0,1307.0,18.91,23,3,51.06,0.0
2018-01-25 23:00:00+00:00,44.01,31363.64,0.0,1339.0,18.91,24,3,46.98,0.0
2018-01-26 00:00:00+00:00,46.24,28609.2,0.0,1346.0,18.9,1,4,43.47,0.0
2018-01-26 01:00:00+00:00,43.39,27145.61,0.0,1372.0,18.9,2,4,42.58,0.0
2018-01-26 02:00:00+00:00,42.63,26380.5,0.0,1404.0,18.9,3,4,41.72,0.0
2018-01-26 03:00:00+00:00,41.04,26056.61,0.0,1437.0,18.9,4,4,41.77,0.0
2018-01-26 04:00:00+00:00,42.23,26375.16,0.0,1472.0,18.9,5,4,41.31,0.0
2018-01-26 05:00:00+00:00,43.01,27601.31,0.0,1511.0,18.9,6,4,41.5,0.0
2018-01-26 06:00:00+00:00,47.3,32683.72,0.0,1537.0,18.9,7,4,48.37,0.0
2018-01-26 07:00:00+00:00,51.27,38977.16,56.0,1508.0,18.9,8,4,53.26,0.0
2018-01-26 08:00:00+00:00,57.1,43381.28,925.0,1487.0,18.9,9,4,58.39,0.0
2018-01-26 09:00:00+00:00,54.52,44875.37,2401.0,1449.0,18.9,10,4,56.23,0.0
2018-01-26 10:00:00+00:00,53.76,43954.32,3683.0,1463.0,18.9,11,4,53.07,0.0
2018-01-26 11:00:00+00:00,51.99,43341.59,4382.0,1502.0,18.9,12,4,47.19,0.0
2018-01-26 12:00:00+00:00,50.13,41020.25,4417.0,1642.0,18.9,13,4,45.48,0.0
2018-01-26 13:00:00+00:00,49.2,40387.69,4066.0,1622.0,18.9,14,4,44.75,0.0
2018-01-26 14:00:00+00:00,48.96,41361.16,3196.0,1530.0,18.9,15,4,45.57,0.0
2018-01-26 15:00:00+00:00,50.5,42025.87,1961.0,1379.0,18.9,16,4,51.74,0.0
